날짜,사무/응대공간,휴게공간
2026-05-01,0,0
2026-05-02,0,0
2026-05-03,0,0
2026-05-04,0.1,2.5
2026-05-05,0,0
2026-05-06,0,2
2026-05-07,0,0
2026-05-08,0.8,2.9
2026-05-09,1.3,3.1
2026-05-10,3.8,0
2026-05-11,0.1,5.5
2026-05-12,0.8,5.6
2026-05-13,0.8,2.6
2026-05-14,0.1,0
2026-05-15,0.3,2.8
2026-05-16,0,1.3
2026-05-17,2.2,0
2026-05-18,0,2.6
2026-05-19,0,1
2026-05-20,0.1,2.4
2026-05-21,0,0
2026-05-22,0,2
2026-05-23,0,1.2
2026-05-24,0,0
2026-05-25,0,0
2026-05-26,2.2,1.9
2026-05-27,0,1
2026-05-28,0,0
2026-05-29,0.4,1.8
2026-05-30,0,0
2026-05-31,0.1,0
